shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,41.3759578,2.1094009,199,3754.671
1,41.3759585,2.1092991,200,3763.179
1,41.3759586,2.1092913,201,3763.838
1,41.3759642,2.1089364,202,3793.525
1,41.3759681,2.1087346,203,3810.404
1,41.3759744,2.1084011,204,3838.305
1,41.3759760,2.1083155,205,3845.461
1,41.3759796,2.1081553,206,3858.869
1,41.3759839,2.1079743,207,3874.010
1,41.3759857,2.1077933,208,3889.149
1,41.3759913,2.1076281,209,3902.979
1,41.3759951,2.1075032,210,3913.431
1,41.3759978,2.1074178,211,3920.580
1,41.3760053,2.1072622,212,3933.622
1,41.3760130,2.1071244,213,3945.169
1,41.3760256,2.1069468,214,3960.089
1,41.3760455,2.1066885,215,3981.801
1,41.3760509,2.1066081,216,3988.555
1,41.3760610,2.1064591,217,4001.068
1,41.3760907,2.1060309,218,4037.022
1,41.3760973,2.1059372,219,4044.900
1,41.3761130,2.1057136,220,4063.678
1,41.3761345,2.1054093,221,4089.236
1,41.3761519,2.1051858,222,4108.028
1,41.3761637,2.1049820,223,4125.118
1,41.3761866,2.1046838,224,4150.183
1,41.3761881,2.1046609,225,4152.113
1,41.3761991,2.1044561,226,4169.277
1,41.3762114,2.1042993,227,4182.460
1,41.3762372,2.1039213,228,4214.200
1,41.3762433,2.1038307,229,4221.811
1,41.3762823,2.1032804,230,4268.036
1,41.3763018,2.1030271,231,4289.323
1,41.3763109,2.1029085,232,4299.293
1,41.3763325,2.1025882,233,4326.192
1,41.3763646,2.1021327,234,4364.446
1,41.3763691,2.1020691,235,4369.793
1,41.3764233,2.1012915,236,4435.095
1,41.3764270,2.1012382,237,4439.569
1,41.3764794,2.1004800,238,4503.241
1,41.3764894,2.1003438,239,4514.692
1,41.3765058,2.1001200,240,4533.490
1,41.3765247,2.0998245,241,4558.297
1,41.3765507,2.0995593,242,4580.662
1,41.3765572,2.0994502,243,4589.815
1,41.3765877,2.0989394,244,4632.663
1,41.3766144,2.0985551,245,4664.938
1,41.3766241,2.0984150,246,4676.701
1,41.3766274,2.0983676,247,4680.680
1,41.3766387,2.0982190,248,4693.170
1,41.3766604,2.0979185,249,4718.416
1,41.3766788,2.0976608,250,4740.061
1,41.3766817,2.0976205,251,4743.451
1,41.3767292,2.0969166,252,4802.549
1,41.3767399,2.0967662,253,4815.184
1,41.3767699,2.0963445,254,4850.609
1,41.3768003,2.0959231,255,4886.006
1,41.3768038,2.0958719,256,4890.306
1,41.3768253,2.0955538,257,4917.013
1,41.3768349,2.0954301,258,4927.417
1,41.3768398,2.0953568,259,4933.568
1,41.3768500,2.0952367,260,4943.680
1,41.3768573,2.0951311,261,4952.546
1,41.3768687,2.0949880,262,4964.582
1,41.3768695,2.0949779,263,4965.429
1,41.3768757,2.0948976,264,4972.173
1,41.3768864,2.0947413,265,4985.305
1,41.3769001,2.0945501,266,5001.365
1,41.3769046,2.0944520,267,5009.582
1,41.3769103,2.0943599,268,5017.309
1,41.3769211,2.0942216,269,5028.939
1,41.3769302,2.0940833,270,5040.551
1,41.3769309,2.0940726,271,5041.448
1,41.3769578,2.0936972,272,5072.977
1,41.3769695,2.0935337,273,5086.717
1,41.3769824,2.0933542,274,5101.792
1,41.3769923,2.0932147,275,5113.515
1,41.3769941,2.0931890,276,5115.674
1,41.3770265,2.0927243,277,5154.697
1,41.3770412,2.0925155,278,5172.237
1,41.3770445,2.0924412,279,5178.464
1,41.3770545,2.0922943,280,5190.796
1,41.3770562,2.0922701,281,5192.826
1,41.3770764,2.0920187,282,5213.973
1,41.3770928,2.0917865,283,5233.477
1,41.3771058,2.0916179,284,5247.643
1,41.3771106,2.0915437,285,5253.872
1,41.3771210,2.0914003,286,5265.918
1,41.3771408,2.0911272,287,5288.866
1,41.3771552,2.0909067,288,5307.373
1,41.3771781,2.0905936,289,5333.682
1,41.3771855,2.0905061,290,5341.040
1,41.3771936,2.0904088,291,5349.232
1,41.3771976,2.0903481,292,5354.324
1,41.3772025,2.0902769,293,5360.304
1,41.3772104,2.0901867,294,5367.896
1,41.3772210,2.0900440,295,5379.886
1,41.3772334,2.0898903,296,5392.815
1,41.3772441,2.0896990,297,5408.860
1,41.3772475,2.0896118,298,5416.162
1,41.3772480,2.0896001,299,5417.144
1,41.3772439,2.0895283,300,5423.163
1,41.3772394,2.0894701,301,5428.057
1,41.3772273,2.0893948,302,5434.494
1,41.3772146,2.0893454,303,5438.858
1,41.3771941,2.0892795,304,5444.818
1,41.3771777,2.0892322,305,5449.173
1,41.3771571,2.0891872,306,5453.579
1,41.3770869,2.0890507,307,5467.404
1,41.3770205,2.0889419,308,5479.113
1,41.3769531,2.0888281,309,5491.221
1,41.3768367,2.0886317,310,5512.117
1,41.3767605,2.0885031,311,5525.804
1,41.3765882,2.0882134,312,5556.674
1,41.3765348,2.0881236,313,5566.236
1,41.3764635,2.0880039,314,5579.000
1,41.3762470,2.0876374,315,5617.948
1,41.3761370,2.0874571,316,5637.357
1,41.3761133,2.0874227,317,5641.250
1,41.3759024,2.0871167,318,5675.937
1,41.3758595,2.0870639,319,5682.437
1,41.3757990,2.0869916,320,5691.469
1,41.3757298,2.0869160,321,5701.423
1,41.3756651,2.0868455,322,5710.716
1,41.3756255,2.0868057,323,5716.226
1,41.3755472,2.0867270,324,5727.136
1,41.3753274,2.0865082,325,5757.633
1,41.3751227,2.0863082,326,5785.849
1,41.3750842,2.0862704,327,5791.169
1,41.3747057,2.0858991,328,5843.415
1,41.3745412,2.0857380,329,5866.111
1,41.3744598,2.0856582,330,5877.349
1,41.3742415,2.0854433,331,5907.521
1,41.3740123,2.0852194,332,5939.114
1,41.3739984,2.0852054,333,5941.053
1,41.3739145,2.0851205,334,5952.768
1,41.3737113,2.0849244,335,5980.653
1,41.3734920,2.0847091,336,6010.935
1,41.3734553,2.0846732,337,6015.996
1,41.3731989,2.0844231,338,6051.321
1,41.3729128,2.0841399,339,6090.941
1,41.3729023,2.0841295,340,6092.406
1,41.3727775,2.0840086,341,6109.550
1,41.3726247,2.0838607,342,6130.548
1,41.3725464,2.0837831,343,6141.402
1,41.3723687,2.0836096,344,6165.884
1,41.3722725,2.0835156,345,6179.150
1,41.3720607,2.0833036,346,6208.596
1,41.3718275,2.0830741,347,6240.831
1,41.3715182,2.0827697,348,6283.574
1,41.3712854,2.0825401,349,6315.777
1,41.3710302,2.0822884,350,6351.078
1,41.3707430,2.0820084,351,6390.632
1,41.3707424,2.0820078,352,6390.724
1,41.3702812,2.0815561,353,6454.350
1,41.3701757,2.0814527,354,6468.914
1,41.3700325,2.0813123,355,6488.672
1,41.3699522,2.0812343,356,6499.717
1,41.3699281,2.0812109,357,6503.035
1,41.3697780,2.0810617,358,6523.857
1,41.3696536,2.0809388,359,6541.072
1,41.3696153,2.0809010,360,6546.371
1,41.3694652,2.0807577,361,6566.899
1,41.3694089,2.0807026,362,6574.664
1,41.3693184,2.0806140,363,6587.148
1,41.3692652,2.0805615,364,6594.507
1,41.3692272,2.0805250,365,6599.721
1,41.3691792,2.0804818,366,6606.155
1,41.3691180,2.0804307,367,6614.183
1,41.3690573,2.0803851,368,6621.927
1,41.3689942,2.0803366,369,6630.020
1,41.3689497,2.0803036,370,6635.676
1,41.3688995,2.0802659,371,6642.079
1,41.3688394,2.0802215,372,6649.725
1,41.3687654,2.0801653,373,6659.183
1,41.3686890,2.0801093,374,6668.876
1,41.3686441,2.0800743,375,6674.653
1,41.3685914,2.0800284,376,6681.651
1,41.3685435,2.0799822,377,6688.223
1,41.3684923,2.0799259,378,6695.606
1,41.3684381,2.0798647,379,6703.509
1,41.3683834,2.0797960,380,6711.871
1,41.3683368,2.0797346,381,6719.159
1,41.3682996,2.0796867,382,6724.911
1,41.3682093,2.0795699,383,6738.910
1,41.3681763,2.0795275,384,6744.007
1,41.3681480,2.0794935,385,6748.252
1,41.3680609,2.0793862,386,6761.438
1,41.3680092,2.0793303,387,6768.844
1,41.3679084,2.0792323,388,6782.716
1,41.3678126,2.0791382,389,6795.948
1,41.3676849,2.0790070,390,6813.877
1,41.3676782,2.0790002,391,6814.808
1,41.3676112,2.0789370,392,6823.936
