shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
1.11.1100.1,41.459686,2.175806,74
1.11.1100.1,41.459811,2.17567,75
1.11.1100.1,41.460808,2.17465,76
1.11.1100.1,41.460808,2.17465,77
1.11.1100.1,41.461855,2.17358,78
1.11.1100.1,41.461903,2.173533,79
1.11.1100.1,41.462033,2.173422,80
1.11.1100.1,41.462069,2.173394,81
1.11.1100.1,41.462187,2.17329,82
1.11.1100.1,41.462413,2.173059,83
1.99.9900.1,41.373847,2.168853,1
1.99.9900.1,41.3717,2.166629,2
1.99.9900.1,41.371434,2.166352,3
1.99.9900.1,41.371228,2.166146,4
1.99.9900.1,41.371034,2.165933,5
1.99.9900.1,41.370915,2.165808,6
1.99.9900.1,41.37081,2.165689,7
1.99.9900.1,41.370684,2.165541,8
1.99.9900.1,41.370598,2.16543,9
1.99.9900.1,41.368956,2.163269,10
1.99.9900.2,41.368956,2.163269,1
1.99.9900.2,41.370598,2.16543,2
1.99.9900.2,41.370684,2.165541,3
1.99.9900.2,41.37081,2.165689,4
1.99.9900.2,41.370915,2.165808,5
1.99.9900.2,41.371034,2.165933,6
1.99.9900.2,41.371228,2.166146,7
1.99.9900.2,41.371434,2.166352,8
1.99.9900.2,41.3717,2.166629,9
1.99.9900.2,41.373847,2.168853,10
2.13.58.1.1,41.376337,2.160098,1
2.13.58.1.1,41.376246,2.159978,2
2.13.58.1.1,41.376225,2.159933,3
2.13.58.1.1,41.376211,2.159884,4
2.13.58.1.1,41.376204,2.159832,5
2.13.58.1.1,41.376205,2.159779,6
2.13.58.1.1,41.376212,2.159727,7
2.13.58.1.1,41.376226,2.159678,8
2.13.58.1.1,41.37625,2.159627,9
2.13.58.1.1,41.376635,2.159117,10
2.13.58.1.1,41.377079,2.158517,11
2.13.58.1.1,41.377935,2.157385,12
2.13.58.1.1,41.378534,2.1566,13
2.13.58.1.1,41.378556,2.156558,14
2.13.58.1.1,41.378573,2.156511,15
2.13.58.1.1,41.378582,2.15646,16
2.13.58.1.1,41.378585,2.156408,17
2.13.58.1.1,41.37858,2.156357,18
2.13.58.1.1,41.378569,2.156307,19
2.13.58.1.1,41.37855,2.156261,20
2.13.58.1.1,41.378526,2.156221,21
2.13.58.1.1,41.377942,2.155443,22
2.13.58.1.1,41.377655,2.155075,23
2.13.58.1.1,41.377086,2.154328,24
2.13.58.1.1,41.376813,2.153955,25
2.13.58.1.1,41.376252,2.153216,26
2.13.58.1.1,41.375968,2.152829,27
2.13.58.1.1,41.375423,2.152111,28
2.13.58.1.1,41.375165,2.151756,29
2.13.58.1.1,41.375156,2.151741,30
2.13.58.1.1,41.375147,2.151715,31
2.13.58.1.1,41.375143,2.151697,32
2.13.58.1.1,41.375138,2.15165,33
2.13.58.1.1,41.375138,2.151621,34
2.13.58.1.1,41.37516,2.151391,35
2.13.58.1.1,41.375159,2.150026,36
2.13.58.1.1,41.37516,2.149952,37
2.13.58.1.1,41.375168,2.149879,38
2.13.58.1.1,41.375182,2.149807,39
2.13.58.1.1,41.375204,2.149739,40
2.13.58.1.1,41.375232,2.149674,41
2.13.58.1.1,41.375266,2.149616,42
2.13.58.1.1,41.375305,2.149563,43
2.13.58.1.1,41.375328,2.149539,44
2.13.58.1.1,41.375367,2.149487,45
2.13.58.1.1,41.375401,2.149429,46
2.13.58.1.1,41.375429,2.149366,47
2.13.58.1.1,41.375451,2.149298,48
2.13.58.1.1,41.375466,2.149228,49
2.13.58.1.1,41.375474,2.149155,50
