shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
51_R2S,41.3796082,2.1413874,274
51_R2S,41.3800152,2.1422091,275
51_R2S,41.3860378,2.1562102,276
51_R2S,41.386288,2.1567341,277
51_R2S,41.3867088,2.1574858,278
51_R2S,41.3871361,2.1581244,279
51_R2S,41.4001428,2.1754981,280
51_R2S,41.4003216,2.1757561,281
51_R2S,41.4004912,2.1760477,282
51_R2S,41.4007193,2.1765487,283
51_R2S,41.4009038,2.1771327,284
51_R2S,41.4025692,2.1838353,285
51_R2S,41.4026045,2.1840683,286
51_R2S,41.4026326,2.1845278,287
51_R2S,41.402602,2.1850463,288
51_R2S,41.4024939,2.185568,289
51_R2S,41.4024159,2.1858136,290
51_R2S,41.4023071,2.1860814,291
51_R2S,41.4021758,2.1863372,292
51_R2S,41.4019207,2.1867116,293
51_R2S,41.4016681,2.1869791,294
51_R2S,41.4006271,2.1869812,295
51_R2S,41.3999393,2.1870778,296
51_R2S,41.3995172,2.187217,297
51_R2S,41.3983765,2.1874923,298
51_R2S,41.3976994,2.1877769,299
51_R2S,41.3972715,2.1880148,300
51_R2S,41.3965275,2.1885059,301
51_R2S,41.396067,2.1888393,302
51_R2S,41.3957185,2.1891183,303
51_R2S,41.3953881,2.1894178,304
51_R2S,41.3947981,2.1900953,305
51_R2S,41.394351,2.1907112,306
51_R2S,41.3939868,2.1911788,307
51_R2S,41.3937013,2.1914882,308
51_R2S,41.393483,2.1916862,309
51_R2S,41.3931955,2.191919,310
51_R2S,41.3928721,2.1921417,311
51_R2S,41.3921619,2.1925256,312
51_R2S,41.3918118,2.1927421,313
51_R2S,41.3914754,2.1929743,314
51_R2S,41.3906125,2.1937198,315
51_R2S,41.3901901,2.1940021,316
51_R2S,41.3897989,2.1941916,317
51_R2S,41.3893444,2.1943355,318
51_R2S,41.3889076,2.1944026,319
51_R2S,41.3886616,2.1944108,320
51_R2S,41.3882445,2.1943767,321
51_R2S,41.3879979,2.1943275,322
51_R2S,41.3877659,2.194261,323
51_R2S,41.3873137,2.1940713,324
51_R2S,41.3871043,2.1939545,325
51_R2S,41.3867167,2.1936832,326
51_R2S,41.3863248,2.1933235,327
51_R2S,41.3861286,2.1931037,328
51_R2S,41.3858205,2.1926977,329
51_R2S,41.3851405,2.1916312,330
51_R2S,41.3846776,2.1907032,331
51_R2S,41.3840403,2.1893704,332
51_R2S,41.3835297,2.1882429,333
51_R2S,41.3834027,2.1878546,334
51_R2S,41.3833512,2.1875789,335
51_R2S,41.3833268,2.1873077,336
51_R2S,41.3833489,2.1867513,337
51_R2S,41.3834018,2.1864636,338
51_R7,41.4970345,2.1151484,1
51_R7,41.4976079,2.1157414,2
51_R7,41.4984096,2.1165112,3
51_R7,41.4989152,2.1170866,4
51_R7,41.4995115,2.1178149,5
51_R7,41.5002462,2.1188076,6
51_R7,41.5006929,2.1194734,7
51_R7,41.5011174,2.1201565,8
51_R7,41.5015594,2.1209265,9
51_R7,41.5019897,2.1217463,10
51_R7,41.5024311,2.1226367,11
51_R7,41.5045931,2.1270822,12
51_R7,41.5048717,2.1277075,13
51_R7,41.5050079,2.1281693,14
51_R7,41.5050825,2.1286584,15
51_R7,41.5050934,2.1291275,16
51_R7,41.5050381,2.1296433,17
51_R7,41.5049234,2.1301067,18
51_R7,41.504793,2.1304482,19
51_R7,41.5045823,2.1308663,20
51_R7,41.5043551,2.1312335,21
51_R7,41.5037049,2.1321897,22
51_R7,41.5030243,2.133243,23
51_R7,41.4972421,2.1415374,24
51_R7,41.4962995,2.1427965,25
51_R7,41.4932661,2.1466968,26
51_R7,41.4837145,2.1591336,27
51_R7,41.4826735,2.1604706,28
51_R7,41.482413,2.1608299,29
51_R7,41.4821335,2.1612734,30
51_R7,41.4819706,2.1615851,31
51_R7,41.4817564,2.1620844,32
51_R7,41.481588,2.1625699,33
51_R7,41.4814195,2.1631646,34
51_R7,41.4812607,2.1639154,35
51_R7,41.4811867,2.1644211,36
51_R7,41.4811244,2.1652757,37
51_R7,41.4811217,2.1657482,38
51_R7,41.4811621,2.1664365,39
51_R7,41.4812514,2.1671553,40
51_R7,41.4824621,2.1745803,41
51_R7,41.4827374,2.1760277,42
51_R7,41.482966,2.1769266,43
51_R7,41.4832133,2.1777003,44
51_R7,41.4834869,2.1783936,45
51_R7,41.4841625,2.1799443,46
51_R7,41.4843962,2.1805712,47
51_R7,41.484525,2.1810155,48
51_R7,41.4846257,2.1814511,49
51_R7,41.4847142,2.1819429,50
51_R7,41.4847787,2.1824406,51
51_R7,41.4848111,2.1829342,52
51_R7,41.4847972,2.1834019,53
51_R7,41.4847519,2.1837644,54
51_R7,41.484643,2.1842237,55
51_R7,41.4844845,2.1846607,56
51_R7,41.4842799,2.1850696,57
51_R7,41.4840468,2.1854311,58
51_R7,41.4838448,2.1856842,59
51_R7,41.4835168,2.1859842,60
51_R7,41.4831916,2.1861974,61
51_R7,41.4830513,2.1862701,62
51_R7,41.4829084,2.186322,63
51_R7,41.4825434,2.1864132,64
51_R7,41.4823163,2.1864315,65
51_R7,41.4821226,2.1864208,66
51_R7,41.4809841,2.1862078,67
51_R7,41.4806483,2.1861809,68
51_R7,41.4804205,2.1861881,69
51_R7,41.4801203,2.1862147,70
51_R7,41.4798863,2.1862546,71
51_R7,41.478575,2.1865711,72
51_R7,41.478022,2.1866298,73
51_R7,41.4774474,2.1866171,74
